Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
2,15,30,7,10,5,5,7,20,14,29,18,2,2,20,1,1,1,3,2,3,2,90,1,2,3
2,25,47,5,5,9,8,8,17,14,27,25,1,2,60,1,1,1,2,2,4,2,90,2,2,2
2,23,30,6,9,8,3,9,18,16,33,10,1,2,60,1,3,2,2,1,2,2,80,1,1,6
3,19,26,5,9,6,4,6,9,9,28,40,1,2,40,2,2,1,2,1,2,2,60,2,2,4
2,11,29,7,6,9,3,6,14,15,32,28,2,2,50,1,1,4,5,1,4,2,70,2,1,6
2,27,48,5,5,6,9,9,20,24,23,31,2,2,40,2,3,1,2,1,4,2,90,2,2,5
3,21,46,4,7,10,5,8,19,19,26,39,2,2,70,1,2,4,4,2,2,1,70,2,1,6
1,32,55,5,7,10,8,8,18,27,25,18,2,2,50,2,3,1,4,2,2,2,80,2,2,5
2,22,46,3,9,7,6,6,25,17,24,8,1,2,60,2,2,3,5,2,4,2,20,2,2,5
1,22,43,4,10,8,5,8,16,24,28,11,2,2,60,2,1,1,5,2,4,2,80,1,2,6
3,17,34,7,7,10,3,10,24,15,32,60,2,2,30,1,3,4,4,1,2,2,60,2,1,6
2,32,49,4,5,5,6,7,16,28,27,17,2,2,50,2,2,1,2,2,2,2,70,1,1,5
3,20,25,10,10,9,5,8,23,7,33,47,2,2,60,1,2,1,4,1,4,2,80,2,1,3
1,21,51,4,7,6,8,4,24,23,22,21,2,2,50,1,2,2,3,2,5,2,70,1,2,4
3,13,31,8,9,6,2,10,15,10,29,29,2,2,40,1,1,1,4,2,5,2,60,2,2,6
3,15,40,5,7,8,5,7,20,17,30,43,2,2,30,1,1,1,2,2,3,2,40,2,1,5
2,20,29,4,7,10,6,7,16,10,28,30,1,2,50,1,3,3,2,1,5,2,60,2,1,5
1,6,37,2,5,8,4,6,18,16,25,6,1,2,30,2,2,1,1,2,2,2,50,1,2,2
2,31,27,9,10,10,4,10,31,11,35,15,2,2,30,2,2,1,1,2,5,2,50,2,2,2
3,11,20,8,4,5,2,6,21,7,33,23,1,1,20,1,1,2,4,2,5,2,30,2,1,3
2,20,52,2,7,9,7,8,13,26,26,37,2,2,50,2,1,1,5,1,2,1,90,1,2,6
1,31,47,8,5,9,9,9,19,26,30,16,2,2,40,2,1,3,1,1,3,2,80,2,2,5
2,25,52,3,8,10,7,10,21,24,26,15,2,2,40,2,1,1,3,2,5,2,80,1,2,5
1,22,49,6,5,10,4,7,24,19,29,11,2,2,40,1,3,1,1,2,3,2,70,1,1,5
3,18,40,6,6,9,10,7,10,13,31,39,1,2,40,2,1,5,4,2,2,2,90,2,1,6
3,21,30,7,9,10,5,9,14,14,29,49,1,2,50,1,1,2,6,2,5,2,60,1,2,6
2,26,41,3,6,10,6,7,11,16,30,42,1,2,50,1,2,1,2,2,3,1,60,2,1,4
1,20,38,6,5,6,4,10,20,12,31,9,2,2,40,1,1,1,3,1,4,2,80,1,2,6
3,21,31,10,9,10,3,10,17,11,33,56,1,2,20,2,1,1,3,1,1,2,60,2,2,2
2,25,40,8,8,9,3,10,19,19,35,7,2,2,20,2,2,1,1,2,5,2,30,1,2,5
1,16,31,8,7,10,3,10,15,18,35,10,2,2,50,2,3,5,1,2,4,2,70,2,2,1
2,13,38,4,9,10,5,6,29,21,26,13,2,1,40,1,2,2,1,2,4,1,50,2,1,3
3,25,25,5,8,10,2,6,19,13,34,30,1,2,60,2,2,2,3,2,3,2,70,2,2,5
3,20,52,4,7,10,9,10,22,28,25,38,1,2,40,1,2,4,4,2,4,2,60,1,2,4
2,18,32,9,7,5,4,9,28,18,27,20,2,2,30,1,2,5,3,1,2,2,60,2,2,5
3,21,47,8,8,10,6,8,12,24,27,46,2,2,30,1,3,6,3,2,1,2,60,2,2,4
3,15,48,2,6,6,8,5,17,24,30,29,1,2,30,1,1,1,2,2,5,2,80,1,2,1
2,24,41,5,8,10,7,9,25,19,31,29,2,2,50,2,1,2,5,2,3,2,60,2,2,5
1,24,39,10,9,8,4,9,19,17,23,3,1,2,30,2,3,1,2,1,2,2,60,1,1,3
3,15,68,5,6,7,10,5,21,31,28,16,2,2,50,1,3,6,3,1,4,2,50,1,2,3
3,18,57,6,5,8,7,10,12,27,31,19,1,2,50,1,1,1,1,2,3,2,70,1,2,1
1,22,46,4,8,10,6,8,20,23,29,38,2,2,60,1,2,1,1,2,2,2,80,2,2,5
3,24,21,7,10,10,2,5,19,9,35,61,2,2,70,2,1,6,6,2,5,2,90,2,1,6
2,20,48,10,8,9,4,10,22,23,25,21,2,2,30,1,1,1,1,2,3,2,70,1,2,2
3,26,32,5,7,9,4,7,13,11,30,28,1,2,30,2,2,1,2,2,3,2,60,2,1,4
3,14,28,7,7,10,3,10,16,15,35,99,2,2,70,1,1,2,1,1,4,1,80,1,2,4
